fpa_id ra_deg dec_deg survey_mode filter_id PA newRA_deg dRA_arcsec newDEC_deg dDec_arcsec flux_fit flux_error L_pix_expected Lveres_pix Lerror_pix theta theta_err fwhm_fitted aperture_flux nb_bad_pixels chisq_reduced mag
o6519g0507o 36.2724517898 -4.0298922447 MD01 z -53.11 36.27212692 0.202 -4.0298156 0.14 8386.84 793.33 15.70 25.37 1.62 112.08 2.11 5.01 37055.63 0 0.36 21.72
o6520g0322o 333.4284566773 0.2559336997 MD09 i -66.44 333.42825811 0.213 0.25604771 0.18 3733.56 469.64 18.77 15.10 1.75 110.43 5.59 5.88 3671.70 172 0.26 20.56
o6520g0322o 333.7248167441 0.175429448 MD09 i -145.75 333.72465873 0.106 0.17521615 0.10 5011.05 335.53 18.61 16.52 0.70 35.89 1.43 3.39 5640.45 0 0.35 20.97
o6520g0323o 333.3186398787 -0.3946247407 MD09 i -155.08 333.31858998 0.089 -0.39477534 0.09 4720.30 309.31 13.52 15.04 0.64 22.08 1.44 3.17 5223.33 0 0.31 16.62
o6520g0324o 334.8918900343 0.2599152873 MD09 i -65.60 334.8916791 0.124 0.25997197 0.11 4631.95 371.96 17.26 18.47 0.90 112.37 1.57 3.51 4587.83 0 0.36 21.42
o6520g0325o 334.8905148181 0.2605107092 MD09 i -65.60 334.89025162 0.16 0.26066447 0.16 2740.86 310.01 17.26 10.57 0.96 116.32 3.96 3.38 2908.74 50 0.30 20.85
o6520g0326o 333.4237588936 0.257952173 MD09 i -66.44 333.42340287 0.083 0.25812024 0.08 7162.12 381.82 18.77 20.13 0.61 114.13 0.90 3.33 7862.13 0 0.38 21.6
o6520g0328o 333.3165155875 -0.3992668645 MD09 i -155.08 333.31654255 0.148 -0.39935779 0.16 3212.55 344.41 13.52 13.65 1.08 22.76 3.22 3.81 3546.21 0 0.30 21.59
o6520g0329o 333.3161206075 -0.4001320878 MD09 i -155.08 333.31602404 0.16 -0.40038756 0.16 3568.90 379.18 13.52 14.95 1.22 27.35 3.41 4.51 4529.70 0 0.34 20.38
o6522g0350o 330.9223836171 45.9087868117 167.3PI.00.BNE2.K.i i -125.37 330.92320628 0.009 45.90918292 0.01 60917.14 311.57 33.28 30.20 0.08 53.92 0.07 4.25 66050.63 0 0.53 21.39
o6522g0350o 330.9239048632 45.909577507 167.3PI.00.BNE2.K.i i -125.25 330.92313411 0.012 45.90921244 0.01 60875.60 311.34 33.64 30.26 0.08 53.94 0.07 4.24 65896.77 0 0.53 16.62
o6522g0367o 330.9819064497 45.9381587961 167.3PI.00.BNE2.K.i i -125.37 330.98298366 0.008 45.93866835 0.01 67098.02 356.88 33.28 35.18 0.08 57.48 0.06 3.74 72153.19 0 0.53 21.09
o6522g0367o 330.9841607004 45.9391807053 167.3PI.00.BNE2.K.i i -125.29 330.98303267 0.011 45.93864506 0.01 67156.08 357.14 34.50 35.16 0.08 57.47 0.06 3.75 72444.16 0 0.53 20.13
o6522g0397o 34.9989144642 -4.9636135148 MD01 y -54.36 34.99898047 0.163 -4.9637138 0.16 2485.28 269.91 15.45 17.30 1.05 122.55 1.77 2.76 2519.94 0 0.28 21.2
o6522g0400o 35.001578452 -4.9655424903 MD01 y -54.36 35.00181436 0.166 -4.96567122 0.17 3681.78 372.67 15.45 16.17 1.14 127.64 2.64 4.01 4160.12 0 0.29 20.63
o6528g0447o 334.5376145954 0.0013937997 MD09 y -70.38 334.5375428 0.044 0.0014388 0.04 30322.66 904.66 16.74 14.79 0.30 111.45 0.74 3.52 32784.36 0 0.38 21.63
o6528g0448o 334.5360395899 0.0019243782 MD09 y -70.38 334.53619457 0.125 0.0018458 0.11 18499.53 1489.25 16.74 14.37 0.93 107.00 2.87 4.65 20976.09 0 0.32 21.47
o6530g0195o 333.1121916547 0.2757630986 MD09 z -66.28 333.11209536 0.238 0.27586859 0.22 3064.19 495.68 12.38 11.98 1.93 114.72 8.65 5.37 2960.02 129 0.27 21.75
o6533g0139o 324.1215639334 -14.7699760718 168.OSS.B.Q.w w -6.89 324.1216855 0.106 -14.77034537 0.20 4578.04 348.90 34.26 31.90 1.42 173.96 1.43 5.71 5064.48 0 0.46 16.71
o6533g0160o 324.129408515 -14.8329875715 168.OSS.B.Q.w w -6.89 324.129412 0.152 -14.83293119 0.15 5002.86 326.39 34.26 1.20 0.00 100.61 1863.13 12.92 7802.98 10 0.65 21.43
o6533g0202o 324.1450825809 -14.9580280699 168.OSS.B.Q.w w -6.89 324.14511405 0.083 -14.95815879 0.15 6158.96 362.11 34.26 32.72 1.08 173.20 1.03 5.48 6097.59 0 0.40 21.78
o6533g0442o 35.7294914308 -5.2939916368 MD01 z -45.48 35.72946336 0.025 -5.29396873 0.02 14515.62 273.99 16.04 5.36 0.16 180.00 1.86 3.60 16651.56 58 0.32 16.71
o6534g0308o 327.9886783618 -16.5601752257 168.3PI.00.ASW1.J.g g -141.47 327.98862897 0.152 -16.56019007 0.16 2921.30 194.92 29.47 30.87 1.23 38.42 1.27 5.73 3076.54 0 0.44 20.7
o6534g0425o 334.8249634669 -0.2491540302 MD09 g -171.33 334.82500941 0.116 -0.24926805 0.14 1730.74 156.46 16.36 13.14 1.03 180.00 0.00 4.68 1987.55 44 0.38 20.78
o6534g0428o 334.8243605286 -0.2532694412 MD09 g -171.33 334.82432925 0.15 -0.25323313 0.18 1072.66 125.68 16.36 13.29 1.14 12.60 3.45 3.63 930.18 1 0.58 20.58
o6535g0309o 336.8219155435 -9.7891209272 168.OSS.F.Q.w w -70.85 336.82186817 0.134 -9.78911735 0.10 3961.74 294.94 18.11 16.92 1.06 104.63 2.86 5.84 4762.50 0 0.37 21.52
o6535g0478o 353.5278173532 -0.6575027194 MD10 i -157.67 353.5278372 0.105 -0.65744647 0.12 5309.39 390.28 18.85 16.91 0.89 21.22 2.09 4.48 6126.00 0 0.37 20.88
o6536g0330o 348.5013960308 -13.2798208883 168.OSS.J.Q.w w -76.70 348.50130017 0.199 -13.27974004 0.19 1761.78 231.89 40.68 14.97 1.39 110.14 3.59 3.86 1397.31 47 0.34 20.69
o6536g0350o 348.5786887416 -13.2975827458 168.OSS.J.Q.w w -76.70 348.5784475 0.167 -13.29753854 0.12 3807.20 325.93 40.68 42.11 1.44 102.93 0.70 3.46 4071.38 0 0.43 21.28
o6536g0370o 348.6515273832 -13.3143101811 168.OSS.J.Q.w w -76.70 348.65035736 0.16 -13.31397828 0.12 3968.30 320.17 40.68 41.33 1.35 104.58 0.68 3.54 4119.92 0 0.42 21.93
o6536g0448o 335.1426040518 0.258737505 MD09 z -72.28 335.14263536 0.169 0.25868587 0.17 2474.03 332.04 17.10 6.20 1.00 112.31 9.61 3.37 2816.24 38 0.33 21.08
o6536g0451o 352.5356031867 0.7862988513 MD10 z -157.57 352.53550894 0.118 0.7861431 0.12 5513.12 464.54 19.04 15.43 0.91 21.67 2.22 3.84 5844.21 0 0.33 21.36
o6536g0452o 351.7307567304 0.9063104206 MD10 z -160.88 351.73069217 0.113 0.90609641 0.15 9703.21 739.68 20.87 19.97 1.20 17.42 2.60 6.21 11184.56 0 0.29 17.54
o6536g0458o 351.7277190825 0.8975516311 MD10 z -160.88 351.72779597 0.077 0.89765695 0.09 9213.20 498.50 20.87 18.00 0.68 20.40 1.43 4.46 9849.01 0 0.41 20.88
o6536g0464o 35.2745755776 -3.28399482 MD01 z -26.88 35.27440309 0.084 -3.2838287 0.09 5807.19 377.18 14.83 8.51 0.56 150.26 3.45 3.77 5461.42 58 0.30 21.33
o6538g0141o 334.1763281548 -0.8552751247 MD09 i -145.64 334.17633871 0.032 -0.85525791 0.03 8517.37 235.15 16.46 3.89 0.30 113.47 4.95 3.72 11038.38 48 0.29 20.23
o6538g0142o 334.4226087889 0.4930885178 MD09 i -72.55 334.42244558 0.048 0.49310261 0.04 7351.21 252.79 16.55 6.50 0.31 115.38 2.82 3.90 7391.32 48 0.31 20.28
o6538g0145o 335.2137065385 0.0239765253 MD09 i -152.62 335.21368434 0.111 0.02399986 0.11 3581.63 317.97 18.97 1.20 8.38 62.51 404.10 6.09 3796.88 55 0.33 17.48
o6538g0217o 344.7712091391 -6.4508674154 168.OSS.K.Q.w w -26.35 344.77123579 0.079 -6.45082343 0.10 10426.13 411.05 43.73 43.76 0.85 154.19 0.53 5.66 11374.51 0 0.42 20.79
o6538g0235o 355.7672196846 1.6147208819 168.OSS.K.Q.w w -16.61 355.7670542 0.094 1.61521778 0.12 5962.04 370.70 68.58 56.62 1.27 163.42 0.48 3.78 6582.72 0 0.34 21.09
o6538g0257o 355.7283032839 1.7452867447 168.OSS.K.Q.w w -16.61 355.72797626 0.13 1.7465121 0.21 6410.42 460.86 68.58 60.92 1.81 164.43 0.69 5.41 5919.83 0 0.43 22.22
o6538g0261o 344.8488993807 -6.6066866393 168.OSS.K.Q.w w -26.35 344.84910225 0.099 -6.60712439 0.11 7040.99 395.47 43.73 42.03 1.08 154.38 0.63 4.52 7546.25 0 0.40 21.51
o6538g0279o 355.6892731133 1.8758256936 168.OSS.K.Q.w w -16.61 355.68929188 0.18 1.87579484 0.19 1335.33 188.80 68.58 7.95 1.38 175.50 10.10 4.35 1359.12 0 0.46 20.52
o6538g0283o 344.887600679 -6.6842929376 168.OSS.K.Q.w w -26.35 344.88765652 0.114 -6.68443521 0.12 3856.85 296.42 43.73 15.49 0.92 152.95 2.52 4.68 3904.65 75 0.31 20.61
o6538g0440o 34.9714771758 -3.8804560396 MD01 i -33.90 34.97145305 0.145 -3.88032472 0.15 2432.61 250.25 11.71 13.89 0.94 150.81 2.44 3.13 2364.23 0 0.42 21.14
o6540g0162o 334.8283989123 -0.8650867819 MD09 i -153.74 334.82845969 0.093 -0.86498104 0.11 5975.93 383.62 20.64 17.78 0.80 23.72 1.79 4.65 6469.74 0 0.34 22
o6544g0175o 334.8320977949 0.1981124608 MD09 z -70.61 334.83201461 0.086 0.19816372 0.08 6591.16 393.32 16.34 14.87 0.58 112.86 1.36 3.26 6794.30 0 1.32 21.64
